X,Y,DEPTH (m),-1,Z
541729.636,710958.545,4.69,-1,-4.69
541729.571,710958.498,4.63,-1,-4.63
541729.506,710958.45,4.7,-1,-4.7
541729.44,710958.402,4.59,-1,-4.59
541729.375,710958.355,4.63,-1,-4.63
541729.31,710958.307,4.69,-1,-4.69
541729.244,710958.26,4.67,-1,-4.67
541729.179,710958.212,4.63,-1,-4.63
541729.114,710958.165,4.59,-1,-4.59
541729.048,710958.117,4.66,-1,-4.66
541728.983,710958.069,4.58,-1,-4.58
541728.918,710958.022,4.61,-1,-4.61
541728.852,710957.974,4.68,-1,-4.68
541728.787,710957.927,4.59,-1,-4.59
541728.721,710957.879,4.68,-1,-4.68
541728.656,710957.831,4.65,-1,-4.65
541728.591,710957.784,4.68,-1,-4.68
541728.525,710957.736,4.66,-1,-4.66
541728.46,710957.689,4.66,-1,-4.66
541728.395,710957.641,4.62,-1,-4.62
541728.329,710957.594,4.62,-1,-4.62
541728.264,710957.546,4.68,-1,-4.68
541728.213,710957.508,4.67,-1,-4.67
541728.162,710957.47,4.67,-1,-4.67
541728.112,710957.431,4.67,-1,-4.67
541728.061,710957.393,4.68,-1,-4.68
541728.01,710957.355,4.67,-1,-4.67
541727.959,710957.317,4.67,-1,-4.67
541727.908,710957.279,4.63,-1,-4.63
541727.857,710957.241,4.63,-1,-4.63
541727.807,710957.202,4.65,-1,-4.65
541727.756,710957.164,4.63,-1,-4.63
541727.705,710957.126,4.63,-1,-4.63
541727.654,710957.088,4.62,-1,-4.62
541727.603,710957.05,4.57,-1,-4.57
541727.552,710957.012,4.58,-1,-4.58
541727.502,710956.973,4.57,-1,-4.57
541727.451,710956.935,4.55,-1,-4.55
541727.4,710956.897,4.55,-1,-4.55
541727.349,710956.859,4.54,-1,-4.54
541727.298,710956.821,4.55,-1,-4.55
541727.247,710956.783,4.51,-1,-4.51
541727.197,710956.744,4.54,-1,-4.54
541727.146,710956.706,4.51,-1,-4.51
541727.095,710956.668,4.51,-1,-4.51
541727.044,710956.63,4.54,-1,-4.54
541726.993,710956.592,4.55,-1,-4.55
541726.942,710956.554,4.51,-1,-4.51
541726.892,710956.515,4.54,-1,-4.54
541726.841,710956.477,4.55,-1,-4.55
541726.79,710956.439,4.58,-1,-4.58
541726.753,710956.408,4.58,-1,-4.58
541726.716,710956.378,4.62,-1,-4.62
541726.68,710956.347,4.63,-1,-4.63
541726.643,710956.316,4.63,-1,-4.63
541726.606,710956.285,4.63,-1,-4.63
541726.569,710956.255,4.63,-1,-4.63
541726.532,710956.224,4.63,-1,-4.63
541726.495,710956.193,4.63,-1,-4.63
541726.459,710956.162,4.65,-1,-4.65
541726.422,710956.132,4.59,-1,-4.59
541726.385,710956.101,4.59,-1,-4.59
541726.348,710956.07,4.63,-1,-4.63
541726.311,710956.039,4.59,-1,-4.59
541726.274,710956.009,4.61,-1,-4.61
541726.238,710955.978,4.61,-1,-4.61
541726.201,710955.947,4.59,-1,-4.59
541726.164,710955.917,4.61,-1,-4.61
541726.127,710955.886,4.61,-1,-4.61
541726.09,710955.855,4.61,-1,-4.61
541726.053,710955.824,4.73,-1,-4.73
541726.017,710955.794,4.62,-1,-4.62
541725.98,710955.763,4.63,-1,-4.63
541725.943,710955.732,4.58,-1,-4.58
541725.906,710955.701,4.63,-1,-4.63
541725.869,710955.671,4.59,-1,-4.59
541725.832,710955.64,4.63,-1,-4.63
541725.796,710955.609,4.66,-1,-4.66
541725.759,710955.578,4.62,-1,-4.62
541725.722,710955.548,4.65,-1,-4.65
541725.685,710955.517,4.83,-1,-4.83
541725.643,710955.499,4.74,-1,-4.74
541725.602,710955.481,4.69,-1,-4.69
541725.56,710955.463,4.73,-1,-4.73
541725.519,710955.446,4.76,-1,-4.76
541725.477,710955.428,4.7,-1,-4.7
541725.435,710955.41,4.72,-1,-4.72
541725.394,710955.392,4.71,-1,-4.71
541725.352,710955.374,4.68,-1,-4.68
541725.31,710955.356,4.68,-1,-4.68
541725.269,710955.339,4.69,-1,-4.69
541725.227,710955.321,4.78,-1,-4.78
541725.186,710955.303,4.68,-1,-4.68
541725.144,710955.285,4.66,-1,-4.66
541725.102,710955.267,4.68,-1,-4.68
541725.061,710955.249,4.72,-1,-4.72
541725.019,710955.232,4.67,-1,-4.67
541724.978,710955.214,4.82,-1,-4.82
541724.936,710955.196,4.61,-1,-4.61
541724.894,710955.178,4.63,-1,-4.63
541724.853,710955.16,4.59,-1,-4.59
541724.811,710955.142,4.59,-1,-4.59
541724.77,710955.125,4.63,-1,-4.63
541724.728,710955.107,4.63,-1,-4.63
541724.686,710955.089,4.59,-1,-4.59
541724.645,710955.071,4.61,-1,-4.61
541724.603,710955.053,4.67,-1,-4.67
541724.561,710955.035,4.63,-1,-4.63
541724.52,710955.018,4.66,-1,-4.66
541724.478,710955,4.66,-1,-4.66
541724.437,710954.982,4.65,-1,-4.65
541724.395,710954.964,4.66,-1,-4.66
541724.358,710954.946,4.63,-1,-4.63
541724.321,710954.927,4.66,-1,-4.66
541724.285,710954.909,4.76,-1,-4.76
541724.248,710954.89,4.72,-1,-4.72
541724.211,710954.872,4.62,-1,-4.62
